# fecha: 2025-09-24T00:09:13-03:00
# usuario: nicole
# host: nicole
comando,procesos,cpu_avg,cpu_max,mem_avg,mem_max
firefox	6	15.40	15.40	7.50	7.50
spotify	9	2.53	3.60	3.43	4.70
